customer_id,transaction_id,transaction_date,product_type,transaction_amount,transaction_type,channel,risk_score,customer_segment
CUST_0185,TRANS_00001,2024-01-05 06:54:59.326600,Personal Loan,1823.11,Follow-Up,Mobile App,0.1,New Customer
CUST_0848,TRANS_00002,2023-11-16 06:54:59.326622,Personal Loan,1520.56,Application,Mobile App,0.32,Loyal
CUST_0039,TRANS_00003,2024-11-06 06:54:59.326626,Personal Loan,4340.85,Approval,Customer Support,0.19,Returning
CUST_0939,TRANS_00004,2024-03-28 06:54:59.326630,Mortgage,1660.57,Inquiry,Mobile App,0.29,New Customer
CUST_0054,TRANS_00005,2024-03-19 06:54:59.326633,Mortgage,4945.43,Inquiry,Mobile App,0.14,Returning
CUST_0002,TRANS_00006,2024-09-10 06:54:59.326636,Mortgage,4564.15,Approval,Mobile App,0.36,Loyal
CUST_0201,TRANS_00007,2023-11-30 06:54:59.326639,Credit Card,2464.66,Approval,Customer Support,0.12,Returning
CUST_0897,TRANS_00008,2024-08-16 06:54:59.326643,Credit Card,2361.18,Approval,Customer Support,0.12,New Customer
CUST_0098,TRANS_00009,2024-03-18 06:54:59.326648,Mortgage,2624.3,Follow-Up,Customer Support,0.4,Loyal
CUST_0743,TRANS_00010,2024-10-17 06:54:59.326651,Personal Loan,3692.86,Approval,Mobile App,0.64,New Customer
CUST_0704,TRANS_00011,2024-07-13 06:54:59.326654,Mortgage,2083.87,Follow-Up,Mobile App,0.22,New Customer
CUST_0051,TRANS_00012,2023-12-12 06:54:59.326657,Credit Card,3529.58,Inquiry,Mobile App,0.01,New Customer
CUST_0906,TRANS_00013,2024-02-06 06:54:59.326661,Personal Loan,1197.69,Application,Online,0.55,New Customer
CUST_0950,TRANS_00014,2024-07-06 06:54:59.326664,Mortgage,3645.24,Inquiry,Mobile App,0.34,Returning
CUST_0508,TRANS_00015,2024-02-21 06:54:59.326667,Credit Card,1386.37,Application,Online,0.28,Returning
CUST_0094,TRANS_00016,2024-08-15 06:54:59.326670,Personal Loan,4512.64,Approval,Customer Support,0.71,New Customer
CUST_0314,TRANS_00017,2024-03-02 06:54:59.326673,Personal Loan,2550.3,Follow-Up,Mobile App,0.68,Loyal
CUST_0202,TRANS_00018,2024-05-01 06:54:59.326676,Personal Loan,1612.39,Inquiry,Online,0.76,Returning
CUST_0517,TRANS_00019,2024-09-26 06:54:59.326679,Credit Card,1529.8,Approval,Online,0.93,Returning
CUST_0365,TRANS_00020,2023-11-18 06:54:59.326682,Credit Card,2140.95,Follow-Up,Mobile App,0.23,New Customer
CUST_0734,TRANS_00021,2024-06-17 06:54:59.326685,Credit Card,1505.22,Follow-Up,Online,0.41,Returning
CUST_0920,TRANS_00022,2024-01-05 06:54:59.326688,Personal Loan,1237.46,Inquiry,Mobile App,0.47,Loyal
CUST_0647,TRANS_00023,2023-12-04 06:54:59.326691,Mortgage,2241.27,Application,Online,0.23,Loyal
CUST_0437,TRANS_00024,2024-08-05 06:54:59.326694,Personal Loan,811.32,Follow-Up,Online,0.74,Loyal
CUST_0164,TRANS_00025,2024-03-09 06:54:59.326697,Mortgage,2282.77,Inquiry,Online,0.29,New Customer
CUST_0887,TRANS_00026,2023-11-28 06:54:59.326700,Credit Card,3323.27,Application,Mobile App,0.76,New Customer
CUST_0792,TRANS_00027,2024-09-14 06:54:59.326702,Personal Loan,3558.54,Follow-Up,Mobile App,0.23,New Customer
CUST_0247,TRANS_00028,2024-01-19 06:54:59.326705,Personal Loan,1833.52,Application,Customer Support,0.37,Loyal
CUST_0921,TRANS_00029,2023-12-11 06:54:59.326708,Credit Card,3524.31,Follow-Up,Online,0.8,Returning
CUST_0721,TRANS_00030,2024-01-21 06:54:59.326710,Personal Loan,2278.35,Approval,Online,0.11,Loyal
CUST_0515,TRANS_00031,2024-09-08 06:54:59.326713,Mortgage,4457.69,Approval,Mobile App,0.72,Returning
CUST_0949,TRANS_00032,2024-02-04 06:54:59.326716,Personal Loan,1090.03,Approval,Mobile App,0.97,New Customer
CUST_0712,TRANS_00033,2024-02-04 06:54:59.326719,Personal Loan,154.03,Inquiry,Mobile App,0.2,Loyal
CUST_0569,TRANS_00034,2024-02-06 06:54:59.326722,Mortgage,4694.35,Inquiry,Mobile App,0.75,Returning
CUST_0596,TRANS_00035,2024-03-24 06:54:59.326725,Personal Loan,4459.45,Approval,Mobile App,0.09,Loyal
CUST_0943,TRANS_00036,2024-08-26 06:54:59.326728,Mortgage,1116.05,Application,Online,0.22,Returning
CUST_0171,TRANS_00037,2024-02-11 06:54:59.326731,Credit Card,1391.07,Approval,Customer Support,0.86,Loyal
CUST_0465,TRANS_00038,2024-04-29 06:54:59.326733,Mortgage,2581.49,Follow-Up,Mobile App,0.94,Loyal
CUST_0394,TRANS_00039,2024-02-21 06:54:59.326737,Personal Loan,4245.58,Application,Customer Support,0.67,Returning
CUST_0207,TRANS_00040,2024-02-11 06:54:59.326739,Mortgage,1895.16,Inquiry,Customer Support,0.61,New Customer
CUST_0988,TRANS_00041,2024-05-30 06:54:59.326742,Personal Loan,3329.28,Inquiry,Mobile App,0.59,Returning
CUST_0861,TRANS_00042,2024-01-22 06:54:59.326745,Credit Card,265.83,Approval,Mobile App,0.37,Loyal
CUST_0055,TRANS_00043,2024-01-28 06:54:59.326748,Personal Loan,1938.56,Approval,Online,0.26,Loyal
CUST_0543,TRANS_00044,2024-04-24 06:54:59.326751,Credit Card,2829.94,Follow-Up,Customer Support,0.75,Loyal
CUST_0783,TRANS_00045,2024-09-06 06:54:59.326754,Personal Loan,4748.91,Application,Mobile App,0.09,Returning
CUST_0633,TRANS_00046,2024-09-03 06:54:59.326757,Mortgage,1703.45,Follow-Up,Customer Support,0.59,New Customer
CUST_0634,TRANS_00047,2024-05-10 06:54:59.326760,Mortgage,4201.66,Approval,Mobile App,0.74,Loyal
CUST_0438,TRANS_00048,2024-03-09 06:54:59.326763,Personal Loan,2122.31,Approval,Mobile App,0.21,Loyal
CUST_0583,TRANS_00049,2024-07-05 06:54:59.326765,Personal Loan,131.32,Approval,Mobile App,0.04,Returning
CUST_0730,TRANS_00050,2024-04-12 06:54:59.326768,Mortgage,950.36,Approval,Customer Support,0.62,New Customer
CUST_0505,TRANS_00051,2024-03-24 06:54:59.326771,Mortgage,1660.95,Application,Online,0.18,Returning
CUST_0966,TRANS_00052,2023-11-21 06:54:59.326774,Credit Card,2509.85,Follow-Up,Online,0.74,Returning
CUST_0154,TRANS_00053,2024-02-15 06:54:59.326776,Mortgage,4853.38,Follow-Up,Customer Support,0.4,New Customer
CUST_0417,TRANS_00054,2024-10-14 06:54:59.326780,Mortgage,3353.21,Approval,Mobile App,0.38,Loyal
CUST_0625,TRANS_00055,2023-11-12 06:54:59.326783,Credit Card,2761.14,Approval,Mobile App,0.59,Returning
CUST_0853,TRANS_00056,2023-12-27 06:54:59.326786,Mortgage,2189.76,Follow-Up,Mobile App,0.55,Loyal
CUST_0967,TRANS_00057,2024-10-20 06:54:59.326788,Mortgage,1920.64,Follow-Up,Customer Support,0.8,New Customer
CUST_0528,TRANS_00058,2024-08-07 06:54:59.326791,Credit Card,3592.38,Approval,Customer Support,0.07,Returning
CUST_0521,TRANS_00059,2023-12-11 06:54:59.326794,Personal Loan,4311.92,Follow-Up,Mobile App,0.8,Returning
CUST_0975,TRANS_00060,2024-04-06 06:54:59.326797,Personal Loan,513.98,Inquiry,Mobile App,0.28,Returning
CUST_0870,TRANS_00061,2024-08-13 06:54:59.326800,Credit Card,2951.44,Approval,Online,0.56,Returning
CUST_0924,TRANS_00062,2024-02-19 06:54:59.326802,Credit Card,4505.67,Follow-Up,Online,0.3,New Customer
CUST_0701,TRANS_00063,2024-01-22 06:54:59.326805,Personal Loan,849.68,Application,Customer Support,0.95,Returning
